objectID,title,department,classification,culture,medium,objectDate,objectBeginDate,objectEndDate,artistDisplayName,artistNationality,artistGender,primaryImage,primaryImageSmall,isHighlight,isPublicDomain,inferred_gender,century,medium_category
436017,Bust of a Woman,European Paintings,Paintings,Spanish,Oil on panel,1740,1740,1744,Francisco Goya,Spanish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100017-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100017-001.jpg,True,True,male,18th c. CE,painting
436019,Mythological Scene,European Paintings,Paintings,British,Oil on canvas,1656,1656,1658,J.M.W. Turner,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100019-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100019-001.jpg,False,True,male,17th c. CE,painting
436020,Mythological Scene,Modern and Contemporary Art,Drawings,French,Pen and brown ink,1831,1831,1834,Auguste Rodin,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100020-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100020-001.jpg,False,True,male,19th c. CE,drawing_paper
436021,Landscape with River,European Paintings,Paintings,French,Tempera on wood,1523,1523,1528,Élisabeth Louise Vigée Le Brun,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100021-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100021-001.jpg,True,True,female,16th c. CE,painting
436022,Village Festival,European Paintings,Paintings,German,Oil and acrylic on canvas,1667,1667,1672,Hans Holbein the Younger,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100022-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100022-001.jpg,True,True,male,17th c. CE,painting
436025,Landscape with River,European Paintings,Paintings,Italian,Oil and acrylic on canvas,1854,1854,1858,Rosalba Carriera,Italian,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100025-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100025-001.jpg,False,True,female,19th c. CE,painting
436028,Bust of a Woman,European Paintings,Paintings,French,Oil on panel,1739,1739,1743,Marie-Denise Villers,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100028-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100028-001.jpg,False,True,female,18th c. CE,painting
436029,Saint Jerome in His Study,European Paintings,Paintings,American,Oil on panel,1513,1513,1517,Winslow Homer,American,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100029-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100029-001.jpg,False,True,male,16th c. CE,painting
436030,Study of a Young Woman,European Paintings,Paintings,Flemish,Tempera on wood,1810,1810,1811,Peter Paul Rubens,Flemish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100030-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100030-001.jpg,True,True,male,19th c. CE,painting
436031,Interior Scene,European Paintings,Paintings,Dutch,Tempera on wood,1678,1678,1679,Rembrandt van Rijn,Dutch,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100031-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100031-001.jpg,False,True,male,17th c. CE,painting
436032,Bust of a Woman,European Paintings,Paintings,British,Tempera on wood,1572,1572,1577,Joshua Reynolds,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100032-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100032-001.jpg,False,True,male,16th c. CE,painting
436034,Landscape with River,European Paintings,Paintings,German,Oil on panel,1897,1897,1899,Lucas Cranach the Elder,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100034-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100034-001.jpg,False,True,male,19th c. CE,painting
436035,Village Festival,European Paintings,Prints,French,Drypoint,1828,1828,1832,Marie-Gabrielle Capet,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100035-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100035-001.jpg,False,True,female,19th c. CE,other
436036,Bust of a Woman,European Paintings,Paintings,British,Oil on panel,1633,1633,1637,Thomas Gainsborough,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100036-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100036-001.jpg,False,True,male,17th c. CE,painting
436037,Interior Scene,European Paintings,Paintings,Flemish,Oil and acrylic on canvas,1527,1527,1530,Clara Peeters,Flemish,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100037-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100037-001.jpg,True,True,female,16th c. CE,painting
436038,Study of a Young Woman,European Paintings,Paintings,Dutch,Oil and acrylic on canvas,1872,1872,1876,Vincent van Gogh,Dutch,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100038-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100038-001.jpg,False,True,male,19th c. CE,painting
436039,Studies of Hands and Drapery,European Paintings,Paintings,Netherlandish,Oil and acrylic on canvas,1772,1772,1773,Rogier van der Weyden,Netherlandish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100039-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100039-001.jpg,True,True,male,18th c. CE,painting
436044,Portrait of a Gentleman by Degas,European Paintings,Paintings,French,Oil on canvas,1654,1654,1656,Edgar Degas,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100044-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100044-001.jpg,False,True,male,17th c. CE,painting
436045,Still Life with Flowers,European Paintings,Prints,Netherlandish,Woodcut,1888,1888,1889,Catharina van Hemessen,Netherlandish,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100045-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100045-001.jpg,False,True,female,19th c. CE,print
436046,Mythological Scene,European Paintings,Paintings,Spanish,Oil on panel,1678,1678,1681,Francisco Goya,Spanish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100046-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100046-001.jpg,False,True,male,17th c. CE,painting
436047,The Holy Family,European Paintings,Paintings,French,Oil on canvas,1783,1783,1787,Berthe Morisot,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100047-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100047-001.jpg,True,True,female,18th c. CE,painting
436048,Studies of Hands and Drapery,European Paintings,Paintings,Dutch,Oil on panel,1745,1745,1748,Judith Leyster,Dutch,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100048-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100048-001.jpg,True,True,female,18th c. CE,painting
436050,Mountain View at Sunset,European Paintings,Prints,French,Etching and engraving,1889,1889,1892,Auguste Rodin,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100050-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100050-001.jpg,False,True,male,19th c. CE,print
436051,Interior Scene,European Paintings,Paintings,British,Oil on canvas,1868,1868,1869,Thomas Gainsborough,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100051-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100051-001.jpg,False,True,male,19th c. CE,painting
436053,The Holy Family,Modern and Contemporary Art,Drawings,German,Watercolor and ink on paper,1844,1844,1849,Lucas Cranach the Elder,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100053-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100053-001.jpg,True,True,male,19th c. CE,drawing_paper
436055,Mountain View at Sunset,European Paintings,Prints,French,Drypoint,1892,1892,1894,Auguste Rodin,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100055-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100055-001.jpg,False,True,male,19th c. CE,other
436056,Village Festival,European Paintings,Paintings,French,Oil on panel,1568,1568,1571,Élisabeth Louise Vigée Le Brun,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100056-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100056-001.jpg,True,True,female,16th c. CE,painting
436057,Bust of a Woman,European Paintings,Prints,French,Lithograph on paper,1645,1645,1648,Edgar Degas,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100057-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100057-001.jpg,True,True,male,17th c. CE,print
436058,Bust of a Woman,European Paintings,Paintings,Netherlandish,Tempera on wood,1516,1516,1518,Jan van Eyck,Netherlandish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100058-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100058-001.jpg,False,True,male,16th c. CE,painting
436060,Portrait of a Gentleman by Houdon,European Paintings,Paintings,French,Oil on canvas,1776,1776,1779,Jean-Antoine Houdon,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100060-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100060-001.jpg,True,True,male,18th c. CE,painting
436062,Interior Scene,European Paintings,Paintings,German,Tempera on wood,1823,1823,1825,Lucas Cranach the Elder,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100062-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100062-001.jpg,True,True,male,19th c. CE,painting
436063,Mythological Scene,Modern and Contemporary Art,Drawings,British,Pen and brown ink,1618,1618,1621,Joshua Reynolds,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100063-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100063-001.jpg,True,True,male,17th c. CE,drawing_paper
436064,Saint Jerome in His Study,European Paintings,Paintings,Dutch,Oil and acrylic on canvas,1690,1690,1694,Judith Leyster,Dutch,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100064-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100064-001.jpg,True,True,female,17th c. CE,painting
436065,Still Life with Flowers,European Paintings,Paintings,French,Oil on canvas,1721,1721,1725,Paul Cézanne,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100065-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100065-001.jpg,False,True,male,18th c. CE,painting
436067,Mythological Scene,European Paintings,Prints,American,Lithograph on paper,1880,1880,1882,Winslow Homer,American,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100067-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100067-001.jpg,True,True,male,19th c. CE,print
436069,Bust of a Woman,European Paintings,Paintings,Italian,Oil on canvas,1910,1910,1913,Rosalba Carriera,Italian,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100069-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100069-001.jpg,False,True,female,20th c. CE,painting
436070,The Holy Family,European Paintings,Prints,French,Drypoint,1826,1826,1828,Marie-Denise Villers,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100070-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100070-001.jpg,False,True,female,19th c. CE,other
436073,Landscape with River,European Paintings,Paintings,French,Oil on panel,1864,1864,1867,Marie-Denise Villers,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100073-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100073-001.jpg,True,True,female,19th c. CE,painting
436075,Studies of Hands and Drapery,European Paintings,Paintings,Netherlandish,Oil on panel,1849,1849,1850,Rogier van der Weyden,Netherlandish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100075-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100075-001.jpg,False,True,male,19th c. CE,painting
436078,Still Life with Flowers,Modern and Contemporary Art,Drawings,German,Watercolor and ink on paper,1631,1631,1634,Hans Holbein the Younger,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100078-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100078-001.jpg,False,True,male,17th c. CE,drawing_paper
436080,Interior Scene,European Paintings,Paintings,French,Oil on canvas,1868,1868,1870,Marie-Gabrielle Capet,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100080-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100080-001.jpg,False,True,female,19th c. CE,painting
436081,Mountain View at Sunset,European Paintings,Paintings,Spanish,Oil on canvas,1830,1830,1831,Francisco Goya,Spanish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100081-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100081-001.jpg,True,True,male,19th c. CE,painting
436083,Still Life with Flowers,Modern and Contemporary Art,Drawings,Dutch,Embroidered silk textile,1559,1559,1561,Judith Leyster,Dutch,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100083-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100083-001.jpg,False,True,female,16th c. CE,other
436085,Bust of a Woman,European Paintings,Prints,British,Etching and engraving,1625,1625,1630,Joshua Reynolds,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100085-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100085-001.jpg,True,True,male,17th c. CE,print
436086,Saint Jerome in His Study,European Paintings,Prints,French,Drypoint,1861,1861,1864,Edgar Degas,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100086-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100086-001.jpg,True,True,male,19th c. CE,other
436087,Portrait of a Noblewoman by Dyck,European Paintings,Paintings,Flemish,Tempera on wood,1880,1880,1885,Anthony van Dyck,Flemish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100087-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100087-001.jpg,False,True,male,19th c. CE,painting
436089,Saint Jerome in His Study,European Paintings,Paintings,French,Oil and acrylic on canvas,1729,1729,1734,Édouard Manet,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100089-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100089-001.jpg,False,True,male,18th c. CE,painting
436090,Portrait of a Noblewoman by Elder,European Paintings,Prints,German,Drypoint,1511,1511,1513,Lucas Cranach the Elder,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100090-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100090-001.jpg,True,True,male,16th c. CE,other
436093,Bust of a Woman,European Paintings,Paintings,Dutch,Oil and acrylic on canvas,1774,1774,1779,Vincent van Gogh,Dutch,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100093-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100093-001.jpg,True,True,male,18th c. CE,painting
436094,Still Life with Flowers,European Paintings,Paintings,French,Oil on panel,1865,1865,1868,Jean-Antoine Houdon,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100094-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100094-001.jpg,False,True,male,19th c. CE,painting
436095,Portrait of a Gentleman by Elder,European Paintings,Paintings,German,Tempera on wood,1751,1751,1753,Lucas Cranach the Elder,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100095-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100095-001.jpg,True,True,male,18th c. CE,painting
436100,Bust of a Woman,European Paintings,Prints,French,Lithograph on paper,1475,1475,1476,Claude Monet,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100100-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100100-001.jpg,False,True,male,15th c. CE,print
436101,Studies of Hands and Drapery,European Paintings,Paintings,British,Oil on panel,1867,1867,1868,J.M.W. Turner,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100101-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100101-001.jpg,True,True,male,19th c. CE,painting
436103,Landscape with River,European Paintings,Prints,French,Lithograph on paper,1790,1790,1791,Auguste Rodin,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100103-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100103-001.jpg,True,True,male,18th c. CE,print
436104,Landscape with River,European Paintings,Prints,Dutch,Lithograph on paper,1936,1936,1940,Vincent van Gogh,Dutch,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100104-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100104-001.jpg,True,True,male,20th c. CE,print
436105,Village Festival,European Paintings,Paintings,American,Oil and acrylic on canvas,1631,1631,1635,John Singer Sargent,American,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100105-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100105-001.jpg,False,True,male,17th c. CE,painting
436106,Study of a Young Woman,European Paintings,Paintings,French,Oil on panel,1732,1732,1736,Anne Vallayer-Coster,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100106-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100106-001.jpg,True,True,female,18th c. CE,painting
436109,Saint Jerome in His Study,European Paintings,Paintings,French,Oil on panel,1535,1535,1536,Auguste Rodin,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100109-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100109-001.jpg,False,True,male,16th c. CE,painting
436111,Still Life with Flowers,Modern and Contemporary Art,Drawings,Spanish,Embroidered silk textile,1559,1559,1560,Francisco Goya,Spanish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100111-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100111-001.jpg,False,True,male,16th c. CE,other
436112,Self-Portrait,European Paintings,Paintings,British,Tempera on wood,1887,1887,1889,Thomas Gainsborough,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100112-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100112-001.jpg,True,True,male,19th c. CE,painting
436114,Interior Scene,European Paintings,Paintings,French,Oil on panel,1883,1883,1888,Marie-Denise Villers,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100114-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100114-001.jpg,False,True,female,19th c. CE,painting
436115,Portrait of a Noblewoman by Sargent,European Paintings,Paintings,American,Tempera on wood,1855,1855,1857,John Singer Sargent,American,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100115-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100115-001.jpg,True,True,male,19th c. CE,painting
436117,Study of a Young Woman,European Paintings,Prints,American,Etching and engraving,1639,1639,1640,Winslow Homer,American,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100117-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100117-001.jpg,False,True,male,17th c. CE,print
436118,Mountain View at Sunset,European Paintings,Paintings,Flemish,Oil on panel,1888,1888,1890,Peter Paul Rubens,Flemish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100118-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100118-001.jpg,False,True,male,19th c. CE,painting
436119,Still Life with Flowers,European Paintings,Prints,French,Woodcut,1717,1717,1720,Édouard Manet,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100119-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100119-001.jpg,True,True,male,18th c. CE,print
436121,Mountain View at Sunset,European Paintings,Paintings,Netherlandish,Oil and acrylic on canvas,1830,1830,1832,Catharina van Hemessen,Netherlandish,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100121-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100121-001.jpg,False,True,female,19th c. CE,painting
436123,Studies of Hands and Drapery,European Paintings,Paintings,French,Oil and acrylic on canvas,1532,1532,1533,Édouard Manet,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100123-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100123-001.jpg,True,True,male,16th c. CE,painting
436124,Saint Jerome in His Study,European Paintings,Paintings,German,Oil on panel,1687,1687,1688,Lucas Cranach the Elder,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100124-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100124-001.jpg,False,True,male,17th c. CE,painting
436126,Portrait of a Gentleman by Labille-Guiard,European Paintings,Paintings,French,Oil on canvas,1821,1821,1823,Adélaïde Labille-Guiard,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100126-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100126-001.jpg,True,True,female,19th c. CE,painting
436127,Mountain View at Sunset,European Paintings,Prints,Spanish,Etching and engraving,1854,1854,1858,Francisco Goya,Spanish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100127-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100127-001.jpg,False,True,male,19th c. CE,print
436128,Saint Jerome in His Study,European Paintings,Prints,Dutch,Drypoint,1463,1463,1466,Rembrandt van Rijn,Dutch,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100128-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100128-001.jpg,False,True,male,15th c. CE,other
436132,Bust of a Woman,Modern and Contemporary Art,Sculpture,Netherlandish,Carved marble bust,1513,1513,1515,Rogier van der Weyden,Netherlandish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100132-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100132-001.jpg,True,True,male,16th c. CE,sculpture
436134,Study of a Young Woman,European Paintings,Paintings,German,Oil on canvas,1916,1916,1921,Albrecht Dürer,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100134-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100134-001.jpg,False,True,male,20th c. CE,painting
436138,Still Life with Flowers,European Paintings,Paintings,Netherlandish,Tempera on wood,1679,1679,1681,Jan van Eyck,Netherlandish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100138-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100138-001.jpg,False,True,male,17th c. CE,painting
436139,Portrait of a Gentleman by Morisot,European Paintings,Paintings,French,Oil and acrylic on canvas,1885,1885,1888,Berthe Morisot,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100139-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100139-001.jpg,True,True,female,19th c. CE,painting
436140,Landscape with River,European Paintings,Prints,French,Etching and engraving,1899,1899,1903,Jean-Antoine Houdon,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100140-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100140-001.jpg,True,True,male,19th c. CE,print
436142,Portrait of a Gentleman by Kauffman,European Paintings,Paintings,Swiss,Tempera on wood,1783,1783,1784,Angelica Kauffman,Swiss,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100142-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100142-001.jpg,True,True,female,18th c. CE,painting
436145,Landscape with River,European Paintings,Paintings,American,Oil and acrylic on canvas,1550,1550,1555,Mary Cassatt,American,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100145-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100145-001.jpg,False,True,female,16th c. CE,painting
436147,Still Life with Flowers,European Paintings,Paintings,Netherlandish,Oil on panel,1724,1724,1729,Rogier van der Weyden,Netherlandish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100147-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100147-001.jpg,True,True,male,18th c. CE,painting
436151,Studies of Hands and Drapery,European Paintings,Paintings,German,Oil on panel,1660,1660,1664,Lucas Cranach the Elder,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100151-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100151-001.jpg,False,True,male,17th c. CE,painting
436152,Interior Scene,European Paintings,Paintings,French,Tempera on wood,1557,1557,1561,Édouard Manet,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100152-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100152-001.jpg,True,True,male,16th c. CE,painting
436153,Allegory of Spring,European Paintings,Paintings,Dutch,Oil and acrylic on canvas,1739,1739,1742,Judith Leyster,Dutch,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100153-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100153-001.jpg,False,True,female,18th c. CE,painting
