objectID,title,department,classification,culture,medium,objectDate,objectBeginDate,objectEndDate,artistDisplayName,artistNationality,artistGender,primaryImage,primaryImageSmall,isHighlight,isPublicDomain
436010,Study of a Young Woman,European Paintings,Paintings,French,Oil and acrylic on canvas,1486,1486,1489,Camille Claudel,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100010-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100010-001.jpg,True,True
436011,The Holy Family,European Paintings,Prints,Netherlandish,Drypoint,1930,1930,1933,,Netherlandish,,https://images.metmuseum.org/CRDImages/ep/original/DP-100011-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100011-001.jpg,False,True
436012,Allegory of Spring,European Paintings,Paintings,Dutch,Tempera on wood,1886,1886,1888,Judith Leyster,Dutch,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100012-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100012-001.jpg,False,True
436013,Village Festival,European Paintings,Paintings,Dutch,Tempera on wood,1650,1650,1654,Rembrandt van Rijn,Dutch,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100013-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100013-001.jpg,True,True
436014,Allegory of Spring,European Paintings,Paintings,Netherlandish,Oil and acrylic on canvas,1651,1651,1656,Jan van Eyck,Netherlandish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100014-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100014-001.jpg,True,True
436015,Still Life with Flowers,European Paintings,Paintings,Unknown,Oil on canvas,1685,1685,1687,,Unknown,,https://images.metmuseum.org/CRDImages/ep/original/DP-100015-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100015-001.jpg,False,True
436016,The Holy Family,European Paintings,Paintings,French,Oil and acrylic on canvas,1647,1647,1649,,French,,https://images.metmuseum.org/CRDImages/ep/original/DP-100016-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100016-001.jpg,False,True
436017,Bust of a Woman,European Paintings,Paintings,Spanish,Oil on panel,1740,1740,1744,Francisco Goya,Spanish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100017-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100017-001.jpg,True,True
436018,Portrait of a Gentleman,European Paintings,Paintings,Unknown,Oil and acrylic on canvas,1767,1767,1771,,Unknown,,https://images.metmuseum.org/CRDImages/ep/original/DP-100018-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100018-001.jpg,True,True
436019,Mythological Scene,European Paintings,Paintings,British,Oil on canvas,1656,1656,1658,J.M.W. Turner,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100019-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100019-001.jpg,False,True
436020,Mythological Scene,Modern and Contemporary Art,Drawings,French,Pen and brown ink,1831,1831,1834,Auguste Rodin,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100020-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100020-001.jpg,False,True
436021,Landscape with River,European Paintings,Paintings,French,Tempera on wood,1523,1523,1528,Élisabeth Louise Vigée Le Brun,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100021-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100021-001.jpg,True,True
436022,Village Festival,European Paintings,Paintings,German,Oil and acrylic on canvas,1667,1667,1672,Hans Holbein the Younger,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100022-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100022-001.jpg,True,True
436023,Portrait of a Gentleman,Modern and Contemporary Art,Drawings,French,Pen and brown ink,1654,1654,1655,,French,,https://images.metmuseum.org/CRDImages/ep/original/DP-100023-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100023-001.jpg,True,True
436024,Allegory of Spring,European Paintings,Paintings,Netherlandish,Tempera on wood,1728,1728,1733,,Netherlandish,,https://images.metmuseum.org/CRDImages/ep/original/DP-100024-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100024-001.jpg,False,True
436025,Landscape with River,European Paintings,Paintings,Italian,Oil and acrylic on canvas,1854,1854,1858,Rosalba Carriera,Italian,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100025-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100025-001.jpg,False,True
436026,Portrait of a Noblewoman,European Paintings,Prints,Netherlandish,Etching and engraving,1618,1618,1619,,Netherlandish,,https://images.metmuseum.org/CRDImages/ep/original/DP-100026-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100026-001.jpg,True,True
436027,Still Life with Flowers,European Paintings,Paintings,Unknown,Oil on panel,1741,1741,1745,,Unknown,,https://images.metmuseum.org/CRDImages/ep/original/DP-100027-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100027-001.jpg,False,True
436028,Bust of a Woman,European Paintings,Paintings,French,Oil on panel,1739,1739,1743,Marie-Denise Villers,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100028-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100028-001.jpg,False,True
436029,Saint Jerome in His Study,European Paintings,Paintings,American,Oil on panel,1513,1513,1517,Winslow Homer,American,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100029-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100029-001.jpg,False,True
436030,Study of a Young Woman,European Paintings,Paintings,Flemish,Tempera on wood,1810,1810,1811,Peter Paul Rubens,Flemish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100030-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100030-001.jpg,True,True
436031,Interior Scene,European Paintings,Paintings,Dutch,Tempera on wood,1678,1678,1679,Rembrandt van Rijn,Dutch,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100031-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100031-001.jpg,False,True
436032,Bust of a Woman,European Paintings,Paintings,British,Tempera on wood,1572,1572,1577,Joshua Reynolds,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100032-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100032-001.jpg,False,True
436033,Interior Scene,Modern and Contemporary Art,Drawings,French,Ivory plaque,1955,1955,1958,,French,,https://images.metmuseum.org/CRDImages/ep/original/DP-100033-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100033-001.jpg,True,True
436034,Landscape with River,European Paintings,Paintings,German,Oil on panel,1897,1897,1899,Lucas Cranach the Elder,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100034-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100034-001.jpg,False,True
436035,Village Festival,European Paintings,Prints,French,Drypoint,1828,1828,1832,Marie-Gabrielle Capet,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100035-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100035-001.jpg,False,True
436036,Bust of a Woman,European Paintings,Paintings,British,Oil on panel,1633,1633,1637,Thomas Gainsborough,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100036-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100036-001.jpg,False,True
436037,Interior Scene,European Paintings,Paintings,Flemish,Oil and acrylic on canvas,1527,1527,1530,Clara Peeters,Flemish,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100037-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100037-001.jpg,True,True
436038,Study of a Young Woman,European Paintings,Paintings,Dutch,Oil and acrylic on canvas,1872,1872,1876,Vincent van Gogh,Dutch,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100038-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100038-001.jpg,False,True
436039,Studies of Hands and Drapery,European Paintings,Paintings,Netherlandish,Oil and acrylic on canvas,1772,1772,1773,Rogier van der Weyden,Netherlandish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100039-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100039-001.jpg,True,True
436040,Portrait of a Noblewoman,European Paintings,Paintings,Netherlandish,Tempera on wood,1538,1538,1541,,Netherlandish,,https://images.metmuseum.org/CRDImages/ep/original/DP-100040-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100040-001.jpg,True,True
436041,Studies of Hands and Drapery,European Paintings,Paintings,Unknown,Oil and acrylic on canvas,1768,1768,1769,,Unknown,,https://images.metmuseum.org/CRDImages/ep/original/DP-100041-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100041-001.jpg,True,True
436042,The Holy Family,Modern and Contemporary Art,Drawings,Unknown,Watercolor and ink on paper,1544,1544,1548,,Unknown,,https://images.metmuseum.org/CRDImages/ep/original/DP-100042-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100042-001.jpg,True,True
436043,Studies of Hands and Drapery,European Paintings,Paintings,French,Oil on panel,1934,1934,1938,,French,,https://images.metmuseum.org/CRDImages/ep/original/DP-100043-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100043-001.jpg,False,True
436044,Portrait of a Gentleman by Degas,European Paintings,Paintings,French,Oil on canvas,1654,1654,1656,Edgar Degas,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100044-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100044-001.jpg,False,True
436045,Still Life with Flowers,European Paintings,Prints,Netherlandish,Woodcut,1888,1888,1889,Catharina van Hemessen,Netherlandish,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100045-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100045-001.jpg,False,True
436046,Mythological Scene,European Paintings,Paintings,Spanish,Oil on panel,1678,1678,1681,Francisco Goya,Spanish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100046-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100046-001.jpg,False,True
436047,The Holy Family,European Paintings,Paintings,French,Oil on canvas,1783,1783,1787,Berthe Morisot,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100047-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100047-001.jpg,True,True
436048,Studies of Hands and Drapery,European Paintings,Paintings,Dutch,Oil on panel,1745,1745,1748,Judith Leyster,Dutch,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100048-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100048-001.jpg,True,True
436049,Still Life with Flowers,European Paintings,Paintings,Italian,Tempera on wood,1660,1660,1664,,Italian,,https://images.metmuseum.org/CRDImages/ep/original/DP-100049-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100049-001.jpg,False,True
436050,Mountain View at Sunset,European Paintings,Prints,French,Etching and engraving,1889,1889,1892,Auguste Rodin,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100050-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100050-001.jpg,False,True
436051,Interior Scene,European Paintings,Paintings,British,Oil on canvas,1868,1868,1869,Thomas Gainsborough,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100051-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100051-001.jpg,False,True
436052,Mountain View at Sunset,European Paintings,Paintings,French,Oil and acrylic on canvas,1925,1925,1927,,French,,https://images.metmuseum.org/CRDImages/ep/original/DP-100052-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100052-001.jpg,False,True
436053,The Holy Family,Modern and Contemporary Art,Drawings,German,Watercolor and ink on paper,1844,1844,1849,Lucas Cranach the Elder,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100053-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100053-001.jpg,True,True
436054,Mountain View at Sunset,European Paintings,Paintings,Italian,Tempera on wood,1782,1782,1783,,Italian,,https://images.metmuseum.org/CRDImages/ep/original/DP-100054-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100054-001.jpg,True,True
436055,Mountain View at Sunset,European Paintings,Prints,French,Drypoint,1892,1892,1894,Auguste Rodin,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100055-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100055-001.jpg,False,True
436056,Village Festival,European Paintings,Paintings,French,Oil on panel,1568,1568,1571,Élisabeth Louise Vigée Le Brun,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100056-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100056-001.jpg,True,True
436057,Bust of a Woman,European Paintings,Prints,French,Lithograph on paper,1645,1645,1648,Edgar Degas,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100057-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100057-001.jpg,True,True
436058,Bust of a Woman,European Paintings,Paintings,Netherlandish,Tempera on wood,1516,1516,1518,Jan van Eyck,Netherlandish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100058-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100058-001.jpg,False,True
436059,Portrait of a Noblewoman,European Paintings,Paintings,French,Oil on panel,1621,1621,1623,,French,,https://images.metmuseum.org/CRDImages/ep/original/DP-100059-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100059-001.jpg,True,True
436060,Portrait of a Gentleman by Houdon,European Paintings,Paintings,French,Oil on canvas,1776,1776,1779,Jean-Antoine Houdon,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100060-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100060-001.jpg,True,True
436061,Portrait of a Gentleman,European Paintings,Prints,German,Etching and engraving,1664,1664,1665,,German,,https://images.metmuseum.org/CRDImages/ep/original/DP-100061-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100061-001.jpg,True,True
436062,Interior Scene,European Paintings,Paintings,German,Tempera on wood,1823,1823,1825,Lucas Cranach the Elder,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100062-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100062-001.jpg,True,True
436063,Mythological Scene,Modern and Contemporary Art,Drawings,British,Pen and brown ink,1618,1618,1621,Joshua Reynolds,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100063-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100063-001.jpg,True,True
436064,Saint Jerome in His Study,European Paintings,Paintings,Dutch,Oil and acrylic on canvas,1690,1690,1694,Judith Leyster,Dutch,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100064-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100064-001.jpg,True,True
436065,Still Life with Flowers,European Paintings,Paintings,French,Oil on canvas,1721,1721,1725,Paul Cézanne,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100065-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100065-001.jpg,False,True
436066,Mountain View at Sunset,European Paintings,Paintings,Netherlandish,Oil on panel,1564,1564,1565,,Netherlandish,,https://images.metmuseum.org/CRDImages/ep/original/DP-100066-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100066-001.jpg,True,True
436067,Mythological Scene,European Paintings,Prints,American,Lithograph on paper,1880,1880,1882,Winslow Homer,American,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100067-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100067-001.jpg,True,True
436068,Bust of a Woman,European Paintings,Paintings,Netherlandish,Oil on canvas,1560,1560,1564,,Netherlandish,,https://images.metmuseum.org/CRDImages/ep/original/DP-100068-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100068-001.jpg,True,True
436069,Bust of a Woman,European Paintings,Paintings,Italian,Oil on canvas,1910,1910,1913,Rosalba Carriera,Italian,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100069-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100069-001.jpg,False,True
436070,The Holy Family,European Paintings,Prints,French,Drypoint,1826,1826,1828,Marie-Denise Villers,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100070-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100070-001.jpg,False,True
436071,Mythological Scene,European Paintings,Paintings,French,Oil on canvas,1619,1619,1621,,French,,https://images.metmuseum.org/CRDImages/ep/original/DP-100071-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100071-001.jpg,True,True
436072,Self-Portrait,European Paintings,Paintings,Italian,Tempera on wood,1417,1417,1422,,Italian,,https://images.metmuseum.org/CRDImages/ep/original/DP-100072-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100072-001.jpg,False,True
436073,Landscape with River,European Paintings,Paintings,French,Oil on panel,1864,1864,1867,Marie-Denise Villers,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100073-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100073-001.jpg,True,True
436074,Mountain View at Sunset,European Paintings,Paintings,German,Oil on panel,1875,1875,1879,,German,,https://images.metmuseum.org/CRDImages/ep/original/DP-100074-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100074-001.jpg,True,True
436075,Studies of Hands and Drapery,European Paintings,Paintings,Netherlandish,Oil on panel,1849,1849,1850,Rogier van der Weyden,Netherlandish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100075-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100075-001.jpg,False,True
436076,Mythological Scene,European Paintings,Paintings,Italian,Oil on canvas,1824,1824,1826,,Italian,,https://images.metmuseum.org/CRDImages/ep/original/DP-100076-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100076-001.jpg,True,True
436077,Studies of Hands and Drapery,European Paintings,Paintings,German,Oil on canvas,1511,1511,1514,,German,,https://images.metmuseum.org/CRDImages/ep/original/DP-100077-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100077-001.jpg,False,True
436078,Still Life with Flowers,Modern and Contemporary Art,Drawings,German,Watercolor and ink on paper,1631,1631,1634,Hans Holbein the Younger,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100078-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100078-001.jpg,False,True
436079,Landscape with River,European Paintings,Paintings,Unknown,Tempera on wood,1544,1544,1545,,Unknown,,https://images.metmuseum.org/CRDImages/ep/original/DP-100079-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100079-001.jpg,False,True
436080,Interior Scene,European Paintings,Paintings,French,Oil on canvas,1868,1868,1870,Marie-Gabrielle Capet,French,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100080-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100080-001.jpg,False,True
436081,Mountain View at Sunset,European Paintings,Paintings,Spanish,Oil on canvas,1830,1830,1831,Francisco Goya,Spanish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100081-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100081-001.jpg,True,True
436082,Portrait of a Noblewoman,Modern and Contemporary Art,Drawings,French,Embroidered silk textile,1675,1675,1679,,French,,https://images.metmuseum.org/CRDImages/ep/original/DP-100082-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100082-001.jpg,False,True
436083,Still Life with Flowers,Modern and Contemporary Art,Drawings,Dutch,Embroidered silk textile,1559,1559,1561,Judith Leyster,Dutch,Female,https://images.metmuseum.org/CRDImages/ep/original/DP-100083-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100083-001.jpg,False,True
436084,Saint Jerome in His Study,European Paintings,Paintings,Italian,Tempera on wood,1641,1641,1646,,Italian,,https://images.metmuseum.org/CRDImages/ep/original/DP-100084-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100084-001.jpg,False,True
436085,Bust of a Woman,European Paintings,Prints,British,Etching and engraving,1625,1625,1630,Joshua Reynolds,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100085-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100085-001.jpg,True,True
436086,Saint Jerome in His Study,European Paintings,Prints,French,Drypoint,1861,1861,1864,Edgar Degas,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100086-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100086-001.jpg,True,True
436087,Portrait of a Noblewoman by Dyck,European Paintings,Paintings,Flemish,Tempera on wood,1880,1880,1885,Anthony van Dyck,Flemish,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100087-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100087-001.jpg,False,True
436088,Portrait of a Gentleman,European Paintings,Paintings,German,Tempera on wood,1889,1889,1891,,German,,https://images.metmuseum.org/CRDImages/ep/original/DP-100088-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100088-001.jpg,True,True
436089,Saint Jerome in His Study,European Paintings,Paintings,French,Oil and acrylic on canvas,1729,1729,1734,Édouard Manet,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100089-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100089-001.jpg,False,True
436090,Portrait of a Noblewoman by Elder,European Paintings,Prints,German,Drypoint,1511,1511,1513,Lucas Cranach the Elder,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100090-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100090-001.jpg,True,True
436091,Portrait of a Noblewoman,European Paintings,Prints,Italian,Woodcut,1863,1863,1864,,Italian,,https://images.metmuseum.org/CRDImages/ep/original/DP-100091-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100091-001.jpg,True,True
436092,Studies of Hands and Drapery,European Paintings,Paintings,Italian,Tempera on wood,1876,1876,1877,,Italian,,https://images.metmuseum.org/CRDImages/ep/original/DP-100092-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100092-001.jpg,True,True
436093,Bust of a Woman,European Paintings,Paintings,Dutch,Oil and acrylic on canvas,1774,1774,1779,Vincent van Gogh,Dutch,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100093-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100093-001.jpg,True,True
436094,Still Life with Flowers,European Paintings,Paintings,French,Oil on panel,1865,1865,1868,Jean-Antoine Houdon,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100094-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100094-001.jpg,False,True
436095,Portrait of a Gentleman by Elder,European Paintings,Paintings,German,Tempera on wood,1751,1751,1753,Lucas Cranach the Elder,German,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100095-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100095-001.jpg,True,True
436096,Still Life with Flowers,European Paintings,Paintings,French,Oil on canvas,1784,1784,1788,,French,,https://images.metmuseum.org/CRDImages/ep/original/DP-100096-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100096-001.jpg,False,True
436097,Self-Portrait,European Paintings,Paintings,French,Tempera on wood,1762,1762,1766,,French,,https://images.metmuseum.org/CRDImages/ep/original/DP-100097-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100097-001.jpg,False,True
436098,The Holy Family,European Paintings,Paintings,Netherlandish,Oil on canvas,1469,1469,1472,,Netherlandish,,https://images.metmuseum.org/CRDImages/ep/original/DP-100098-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100098-001.jpg,True,True
436099,Still Life with Flowers,European Paintings,Paintings,Netherlandish,Oil on canvas,1537,1537,1540,,Netherlandish,,https://images.metmuseum.org/CRDImages/ep/original/DP-100099-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100099-001.jpg,False,True
436100,Bust of a Woman,European Paintings,Prints,French,Lithograph on paper,1475,1475,1476,Claude Monet,French,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100100-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100100-001.jpg,False,True
436101,Studies of Hands and Drapery,European Paintings,Paintings,British,Oil on panel,1867,1867,1868,J.M.W. Turner,British,Male,https://images.metmuseum.org/CRDImages/ep/original/DP-100101-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100101-001.jpg,True,True
436102,Portrait of a Noblewoman,European Paintings,Paintings,French,Oil on panel,1625,1625,1629,,French,,https://images.metmuseum.org/CRDImages/ep/original/DP-100102-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-100102-001.jpg,False,True
