objectID,title,department,classification,culture,medium,objectDate,objectBeginDate,objectEndDate,artistDisplayName,artistNationality,artistGender,artistBeginDate,artistEndDate,primaryImage,primaryImageSmall,tags,creditLine,isHighlight,source_harvest
327315,Miniature vessel,Ancient West Asian Art,,,Ceramic,ca. 1600–1400 BCE,-1600,-1400,,,,,,https://images.metmuseum.org/CRDImages/an/original/vs1987_115.jpg,https://images.metmuseum.org/CRDImages/an/web-large/vs1987_115.jpg,Birds,"Bequest of Charles K. Wilkinson, 1986",False,results_harvest_17_departments/met_metadata.csv
326387,Bulla,Ancient West Asian Art,,Achaemenid,Unbaked clay,mid 6th–late 4th century BCE,-546,-330,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-40305-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-40305-001.jpg,,"Purchase, H. Dunscombe Colt Gift, 1978",False,results_harvest_17_departments/met_metadata.csv
322143,Relief fragment,Ancient West Asian Art,,,Basalt,ca. early 1st millennium BCE,-1000,-750,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-16504-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-16504-001.jpg,Men;Horses,"Purchase, 1891",False,results_harvest_17_departments/met_metadata.csv
328096,Drachm,Ancient West Asian Art,,Parthian,Silver,ca. 78–110 CE,77,110,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-40316-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-40316-001.jpg,,"Bequest of Charles K. Wilkinson, 1986",False,results_harvest_17_departments/met_metadata.csv
324331,Furniture or cosmetic box plaque carved in the round with striding bull,Ancient West Asian Art,,Assyrian,"Ivory, gold foil",ca. 8th–7th century BCE,-800,-600,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-38929-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-38929-001.jpg,Bulls,"Rogers Fund, 1954",False,results_harvest_17_departments/met_metadata.csv
325082,Horse blinker carved in relief with a wedjat eye,Ancient West Asian Art,,Assyrian,Ivory,ca. 8th century BCE,-800,-700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110665.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110665.jpg,Eyes,"Rogers Fund, 1960",False,results_harvest_17_departments/met_metadata.csv
322360,Drachm,Ancient West Asian Art,,Parthian,Silver,ca. 110–129 CE,110,129,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-13132-037.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-037.jpg,Men;Profiles,"Bequest of Joseph H. Durkee, 1898",False,results_harvest_17_departments/met_metadata.csv
324203,Reclining calf: lid attachment,Ancient West Asian Art,,Assyrian,Ivory,ca. 9th–8th century BCE,-900,-700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110565.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110565.jpg,Animals,"Rogers Fund, 1952",False,results_harvest_17_departments/met_metadata.csv
322355,Drachm,Ancient West Asian Art,,Parthian,Silver,ca. 38–2 BCE,-38,-2,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-13132-027.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-027.jpg,Men;Profiles,"Bequest of Joseph H. Durkee, 1898",False,results_harvest_17_departments/met_metadata.csv
764095,"Christ Carrying the Cross, called ""The Lord of the Fall""",The American Wing,,Peru (Cuzco),Oil and gold on canvas,ca. 1770–75,1770,1775,Unknown,,,,,https://images.metmuseum.org/CRDImages/ad/original/DP-18755-007.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-18755-007.jpg,Angels;Christ,"Gift of James Kung Wei Li, in memory of Ambassador and Mme Ti-Tsun Li, Republic of China, 2018",False,results_harvest_17_departments/met_metadata.csv
324199,Fan or fly-whisk handle in the form of four female figures,Ancient West Asian Art,,Assyrian,"Ivory, gold leaf",ca. 8th–7th century BCE,-800,-600,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110557.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110557.jpg,Female Nudes,"Rogers Fund, 1952",False,results_harvest_17_departments/met_metadata.csv
322354,Drachm,Ancient West Asian Art,,Parthian,Silver,ca. 57–38 BCE,-57,-38,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-13132-025.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-025.jpg,Men;Profiles,"Bequest of Joseph H. Durkee, 1898",False,results_harvest_17_departments/met_metadata.csv
325572,Ivory fragment,Ancient West Asian Art,,Assyrian,Ivory,ca. 9th–7th century BCE,-900,-600,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110697.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110697.jpg,,"Rogers Fund, 1962",False,results_harvest_17_departments/met_metadata.csv
327376,Sherd,Ancient West Asian Art,,Halaf,"Ceramic, paint",ca. 5600–5000 BCE,-5600,-5000,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-28472-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-28472-001.jpg,Birds,"Purchase, Colt Archaeological Institute Inc. Gift, 1988",False,results_harvest_17_departments/met_metadata.csv
327685,Cylinder seal and modern impression: winged horse with claws and horns,Ancient West Asian Art,,Assyrian,Chalcedony,ca. 14th–13th century BCE,-1400,-1200,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-41788-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-41788-001.jpg,Horses,"Gift of Nanette B. Kelekian, in memory of Charles Dikran and Beatrice Kelekian, 1999",False,results_harvest_17_departments/met_metadata.csv
324383,Plaque fragment,Ancient West Asian Art,,Assyrian,Ivory,ca. 8th–7th century BCE,-800,-600,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110661.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110661.jpg,,"Rogers Fund, 1959",False,results_harvest_17_departments/met_metadata.csv
322356,Tetradrachm,Ancient West Asian Art,,Parthian,Silver,ca. 49–50 CE,49,50,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-13132-029.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-029.jpg,Men;Profiles,"Bequest of Joseph H. Durkee, 1898",False,results_harvest_17_departments/met_metadata.csv
853449,Portrait of Sor Juana de Nuestra Señora de Guadalupe,The American Wing,,New Spain (present-day Mexico),Oil on canvas,1797,1797,1797,Domingo Ortiz,Mexican,,,,https://images.metmuseum.org/CRDImages/ad/original/DP-25528-001.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-25528-001.jpg,,"Purchase, Mary Trumbull Adams Trust Fund, 2021",True,results_harvest_17_departments/met_metadata.csv
4895,Vase,The American Wing,,American,Porcelain,1902,1902,1902,M. Louise McLaughlin,American,Female,1847.0,1939.0,https://images.metmuseum.org/CRDImages/ad/original/DP-26109-003.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-26109-003.jpg,,"Gift of Betty G. Hut and Robert A. Hut, 2021",False,results_harvest_17_departments/met_metadata.csv
324751,Border strip,Ancient West Asian Art,,Assyrian,Ivory,ca. 9th–8th century BCE,-900,-700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110634.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110634.jpg,,"Rogers Fund, 1958",False,results_harvest_17_departments/met_metadata.csv
322973,Plate with king hunting rams,Ancient West Asian Art,,Sasanian,"Silver, mercury gilding, niello inlay",ca. mid-5th–mid-6th century CE,459,531,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-42233-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-42233-001.jpg,Kings;Men;Hunting;Horses;Rams,"Fletcher Fund, 1934",False,results_harvest_17_departments/met_metadata.csv
322357,Drachm,Ancient West Asian Art,,Parthian,Silver,ca. 40–51 CE,40,51,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-13132-031.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-031.jpg,Men,"Bequest of Joseph H. Durkee, 1898",False,results_harvest_17_departments/met_metadata.csv
324747,Plaque fragment,Ancient West Asian Art,,Assyrian,Ivory,ca. 8th–7th century BCE,-800,-600,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110630.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110630.jpg,,"Rogers Fund, 1958",False,results_harvest_17_departments/met_metadata.csv
323943,Jug in the form of a recumbent bull,Ancient West Asian Art,,Iran,"Ceramic, paint",ca. 7th–6th century BCE,-700,-550,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-25538-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-25538-001.jpg,Bulls,"Rogers Fund, 1943",False,results_harvest_17_departments/met_metadata.csv
328186,Plate with reclining zebu,Ancient West Asian Art,,,Copper alloy,ca. late 3rd–early 2nd millennium BCE,-2300,-1700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP701382.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP701382.jpg,Animals,"Gift of Evelyn Kranes Kossak, The Kronos Collections, 2015",False,results_harvest_17_departments/met_metadata.csv
324745,Border strip,Ancient West Asian Art,,Assyrian,Ivory,ca. 9th–8th century BCE,-900,-700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110628.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110628.jpg,,"Rogers Fund, 1958",False,results_harvest_17_departments/met_metadata.csv
326455,Bulla,Ancient West Asian Art,,Parthian,Un-baked clay,2nd century BC–1st century AD,-200,100,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-40307-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-40307-001.jpg,,"Purchase, H. Dunscombe Colt Gift, 1978",False,results_harvest_17_departments/met_metadata.csv
324749,Border strip,Ancient West Asian Art,,Assyrian,Ivory,ca. 9th–8th century BCE,-900,-700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110632.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110632.jpg,,"Rogers Fund, 1958",False,results_harvest_17_departments/met_metadata.csv
324139,Jar with paired birds in panels,Ancient West Asian Art,,Iran,"Ceramic, paint",ca. 1600–1400 BCE,-1600,-1400,,,,,,https://images.metmuseum.org/CRDImages/an/original/hb51_25_25.jpg,https://images.metmuseum.org/CRDImages/an/web-large/hb51_25_25.jpg,Birds,"Rogers Fund and Gifts of Lucy W. Drexel, Theodore M. Davis, Helen Miller Gould, Albert Gallatin, Egypt Exploration Fund and Egyptian Research Account, by exchange, 1950",False,results_harvest_17_departments/met_metadata.csv
326457,Bulla,Ancient West Asian Art,,Parthian,Un-baked clay,2nd century BC–1st century AD,-200,100,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-40309-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-40309-001.jpg,,"Purchase, H. Dunscombe Colt Gift, 1978",False,results_harvest_17_departments/met_metadata.csv
325566,"Furniture plaque carved in relief with a striding, ram-headed sphinx supported by two kneeling figures",Ancient West Asian Art,,Assyrian,Ivory,ca. 9th–8th century BCE,-900,-700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110692.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110692.jpg,Palmettes;Men;Sphinx,"Rogers Fund, 1962",False,results_harvest_17_departments/met_metadata.csv
329081,"Proto-Cuneiform tablet with seal impressions: administrative account of barley distribution with cylinder seal impression of a male figure, hunting dogs, and boars",Ancient West Asian Art,,Sumerian,Clay,ca. 3100–2900 BCE,-3100,-2900,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP293243.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP293243.jpg,Men;Hunting;Boars;Dogs,"Purchase, Raymond and Beverly Sackler Gift, 1988",True,results_harvest_17_departments/met_metadata.csv
325869,"Furniture plaque carved in relief with two addorsed, ram-headed sphinxes",Ancient West Asian Art,,Assyrian,Ivory,ca. 9th–8th century BCE,-900,-700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP115141.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP115141.jpg,Sphinx,"Harris Brisbane Dick Fund, 1967",False,results_harvest_17_departments/met_metadata.csv
327830,Panel with the god Zeus/Serapis/Ohrmazd and worshiper,Ancient West Asian Art,,Kushan,"Terracotta, gouache",ca. 3rd century CE,200,300,,,,,,https://images.metmuseum.org/CRDImages/an/original/DT918.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DT918.jpg,Men;Zeus,"Purchase, Raymond and Beverly Sackler Gift, 2000",True,results_harvest_17_departments/met_metadata.csv
325584,Helmet with divine figures beneath a bird with outstretched wings,Ancient West Asian Art,,Elamite,"Bronze, gold foil over bitumen",ca. 1500–1100 BCE,-1500,-1100,,,,,,https://images.metmuseum.org/CRDImages/an/original/DT874.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DT874.jpg,Birds;Men;Women;Deities,"Fletcher Fund, 1963",True,results_harvest_17_departments/met_metadata.csv
324599,Incised furniture plaque with two ibexes flanking a stylized palmette tree,Ancient West Asian Art,,Assyrian,Ivory,ca. 9th–8th century BCE,-900,-700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110594.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110594.jpg,Ibex,"Rogers Fund, 1957",False,results_harvest_17_departments/met_metadata.csv
324291,Vessel terminating in the forepart of a fantastic leonine creature,Ancient West Asian Art,,Achaemenid,Gold,ca. 5th century BCE,-500,-400,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-19135-003.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-19135-003.jpg,Lions,"Fletcher Fund, 1954",True,results_harvest_17_departments/met_metadata.csv
325571,Openwork furniture plaque with the head of a feline,Ancient West Asian Art,,Assyrian,Ivory,ca. 9th–8th century BCE,-900,-700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110696.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110696.jpg,Animals;Goddess,"Rogers Fund, 1962",False,results_harvest_17_departments/met_metadata.csv
326893,Openwork stamp seal: figure holding snakes,Ancient West Asian Art,,Bactria-Margiana Archaeological Complex,Copper alloy,ca. late 3rd–early 2nd millennium BCE,-2250,-1750,,,,,,https://images.metmuseum.org/CRDImages/an/original/ANE56.jpg,https://images.metmuseum.org/CRDImages/an/web-large/ANE56.jpg,Snakes,"Purchase, David L. Klein Jr. Memorial Foundation Inc. Gift and Gift of Lester Wolfe, by exchange, 1984",False,results_harvest_17_departments/met_metadata.csv
323525,Furniture plaque: hawk,Ancient West Asian Art,,Old Assyrian Trading Colony,Ivory (hippopotamus),ca. 18th century BCE,-1800,-1700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110477.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110477.jpg,Hawks,"Gift of Mrs. George D. Pratt, in memory of George D. Pratt, 1936",False,results_harvest_17_departments/met_metadata.csv
325838,Bowl,Ancient West Asian Art,,Iranian,Ceramic,ca. 4th–2nd century BCE,-400,-100,,,,,,https://images.metmuseum.org/CRDImages/an/original/ME66_205_1.jpg,https://images.metmuseum.org/CRDImages/an/web-large/ME66_205_1.jpg,Birds,"Gift of Mehdi Mahboubian, 1966",False,results_harvest_17_departments/met_metadata.csv
327799,Stamp seal,Ancient West Asian Art,,Hittite,Hematite,ca. 17th–16th century BCE,-1700,-1500,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-13441-023.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13441-023.jpg,Deer;Dogs,"Gift of Nanette B. Kelekian, in memory of Charles Dikran and Beatrice Kelekian, 1999",False,results_harvest_17_departments/met_metadata.csv
323588,Furniture plaque: wing of a hawk,Ancient West Asian Art,,Old Assyrian Trading Colony,Ivory (hippopotamus),ca. 18th century BCE,-1800,-1700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110477.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110477.jpg,Hawks,"Gift of Mrs. George D. Pratt, in memory of George D. Pratt, 1937",False,results_harvest_17_departments/met_metadata.csv
12791,Gabriel Manigault,The American Wing,,American,Oil on canvas,1757,1757,1757,Jeremiah Theus,American,,1716.0,1774.0,https://images.metmuseum.org/CRDImages/ad/original/DP239227.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP239227.jpg,Men;Portraits,"Fletcher Fund, 1928",False,results_harvest_17_departments/met_metadata.csv
326456,Bulla,Ancient West Asian Art,,Parthian,Un-baked clay,2nd century BC–1st century AD,-200,100,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-40308-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-40308-001.jpg,,"Purchase, H. Dunscombe Colt Gift, 1978",False,results_harvest_17_departments/met_metadata.csv
323523,Furniture plaque: deer,Ancient West Asian Art,,Old Assyrian Trading Colony,Ivory (hippopotamus),ca. 18th century BCE,-1800,-1700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110474.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110474.jpg,Deer,"Gift of Mrs. George D. Pratt, in memory of George D. Pratt, 1936",False,results_harvest_17_departments/met_metadata.csv
891628,Dish: The Walls and Hanging Gardens of Babylon,Ancient West Asian Art,,British,Porcelain,1898,1898,1898,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-33383-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-33383-001.jpg,,"Henrietta and Christopher McCall Collection, Purchase, Henrie Jo Barth Bequest, and Museum Acquisitions and Josephine Lois Berger-Nadler Endowment Funds, 2023",False,results_harvest_17_departments/met_metadata.csv
322272,Stamp seal with a knob handle: bird of prey with two horned animals caught in its talons,Ancient West Asian Art,,Old Assyrian Trading Colony,Black steatite,ca. 18th century BCE,-1800,-1700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-13441-018.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13441-018.jpg,Animals;Birds,"Purchase, 1899",False,results_harvest_17_departments/met_metadata.csv
323587,Furniture plaque: hawk,Ancient West Asian Art,,Old Assyrian Trading Colony,Ivory,ca. 18th century BCE,-1800,-1700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110477.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110477.jpg,Hawks,"Gift of Mrs. George D. Pratt, in memory of George D. Pratt, 1937",False,results_harvest_17_departments/met_metadata.csv
639782,War club,The American Wing,,"Pawnee, Native American",Wood and pigment,ca. 1800,1795,1805,,,,,,https://images.metmuseum.org/CRDImages/ad/original/DP-15301-006.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-15301-006.jpg,,"The Charles and Valerie Diker Collection of Native American Art, Gift of Charles and Valerie Diker, 2019",False,results_harvest_17_departments/met_metadata.csv
12793,Mrs. Gabriel Manigault,The American Wing,,American,Oil on canvas,1757,1757,1757,Jeremiah Theus,American,,1716.0,1774.0,https://images.metmuseum.org/CRDImages/ad/original/DP239228.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP239228.jpg,Portraits;Women,"Fletcher Fund, 1928",False,results_harvest_17_departments/met_metadata.csv
322244,Square plaque seal with stalk handle,Ancient West Asian Art,,Old Assyrian Trading Colony,"Hematite, black",early 2nd millennium BCE,-1820,-1740,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-13441-015.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13441-015.jpg,Goats,"Purchase, 1893",False,results_harvest_17_departments/met_metadata.csv
323571,Furniture plaque: deer,Ancient West Asian Art,,Old Assyrian Trading Colony,Ivory (hippopotamus),ca. 18th century BCE,-1800,-1700,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110495.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110495.jpg,Deer,"Gift of Mrs. George D. Pratt, in memory of George D. Pratt, 1936",False,results_harvest_17_departments/met_metadata.csv
4832,Sugar bowl,The American Wing,,American,Silver,1862–63,1862,1863,Wood and Hughes,American,,1845.0,1899.0,https://images.metmuseum.org/CRDImages/ad/original/DP157655.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP157655.jpg,Factories;Men,"Friends of the American Wing Fund, 2006",False,results_harvest_17_departments/met_metadata.csv
321904,Corner fragment of inscribed prism (kudurru),Ancient West Asian Art,,Babylonian,Clay,ca. 7th–6th century BCE,-700,-500,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP273239.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP273239.jpg,,"Purchase, 1886",False,results_harvest_17_departments/met_metadata.csv
325717,Head of a king,Ancient West Asian Art,,Sasanian,"Silver, mercury gilding",ca. 4th century,300,400,,,,,,https://images.metmuseum.org/CRDImages/an/original/DT209307-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DT209307-001.jpg,Kings;Heads;Men,"Fletcher Fund, 1965",False,results_harvest_17_departments/met_metadata.csv
324045,Cup decorated with ibexes,Ancient West Asian Art,,Iran,"Ceramic, paint",ca. 4000 BCE,-4500,-3900,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-26823-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-26823-001.jpg,Ibex,"Rogers Fund, 1948",False,results_harvest_17_departments/met_metadata.csv
326158,Tetradrachm of Alexander the Great,Ancient West Asian Art,,Seleucid,"Silver, bronze",ca. 311–305 BCE,-311,-305,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-13132-043.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-043.jpg,Alexander The Great;Men,"Purchase, H. Dunscombe Colt Gift, 1974",False,results_harvest_17_departments/met_metadata.csv
10771,Spring Landscape,The American Wing,,American,Oil on canvas,ca. 1853–56,1850,1856,Thomas Doughty,American,,1793.0,1856.0,https://images.metmuseum.org/CRDImages/ad/original/ap17.66.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/ap17.66.jpg,Waterfalls;Hills;Landscapes,"Gift of George F. Shelton and Mrs. F. H. Markoe, in memory of their father, Theodore B. Shelton, 1917",False,results_harvest_17_departments/met_metadata.csv
324200,Head of a female figure,Ancient West Asian Art,,Assyrian,Ivory,ca. 8th–7th century BCE,-800,-600,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-41768-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-41768-001.jpg,Heads;Women,"Rogers Fund, 1952",False,results_harvest_17_departments/met_metadata.csv
324110,Levantine vessel with rampant goats and olive trees,Ancient West Asian Art,,,Ivory,ca. late 2nd–early 1st millennium BCE,-1200,-800,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP110529.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110529.jpg,Goats;Olive Trees,"Purchase, Joseph Pulitzer Bequest, 1950",False,results_harvest_17_departments/met_metadata.csv
326157,Tetradrachm of Alexander the Great,Ancient West Asian Art,,Seleucid,Silver,ca. 318–316 BCE,-318,-316,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-36519-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-36519-001.jpg,Alexander The Great,"Purchase, H. Dunscombe Colt Gift, 1974",False,results_harvest_17_departments/met_metadata.csv
324933,Female head,Ancient West Asian Art,,Assyrian,Ivory,ca. 8th–7th century BCE,-800,-600,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-28968-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-28968-001.jpg,Women,"Rogers Fund, 1959",False,results_harvest_17_departments/met_metadata.csv
326395,Tetradrachm of Alexander the Great,Ancient West Asian Art,,Seleucid,Silver,ca. 325–319 BCE,-325,-319,,,,,,https://images.metmuseum.org/CRDImages/an/original/DP-16934-019.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-16934-019.jpg,Alexander The Great;Profiles,"Purchase, H. Dunscombe Colt Gift, 1978",False,results_harvest_17_departments/met_metadata.csv
